,Country Code,Country Name,Borrowed from a financial institution (% age 15+),Borrowed from a financial institution or used a credit card (% age 15+),"Borrowed from a financial institution or used a credit card, female (% age 15+)","Borrowed from a financial institution or used a credit card, in labor force (% age 15+)","Borrowed from a financial institution or used a credit card, income, poorest 40% (% age 15+)","Borrowed from a financial institution or used a credit card, income, richest 60% (% age 15+)","Borrowed from a financial institution or used a credit card, male (% age 15+)","Borrowed from a financial institution or used a credit card, older adults (% age 25+)","Borrowed from a financial institution or used a credit card, out of labor force (% age 15+)","Borrowed from a financial institution or used a credit card, primary education or less (% age 15+)","Borrowed from a financial institution or used a credit card, rural (% age 15+)","Borrowed from a financial institution or used a credit card, secondary education or more (% age 15+)","Borrowed from a financial institution or used a credit card, young adults (% age 15-24)","Borrowed from a financial institution, female (% age 15+)","Borrowed from a financial institution, in labor force (% age 15+)","Borrowed from a financial institution, income, poorest 40% (% age 15+)","Borrowed from a financial institution, income, richest 60% (% age 15+)","Borrowed from a financial institution, male (% age 15+)","Borrowed from a financial institution, older adults  (% age 25+)","Borrowed from a financial institution, out of labor force (% age 15+)","Borrowed from a financial institution, primary education or less (% age 15+)","Borrowed from a financial institution, rural (% age 15+)","Borrowed from a financial institution, secondary education or more (% age 15+)","Borrowed from a financial institution, young adults  (% age 15-24)",Made or received digital payments in the past year (% age 15+),"Made or received digital payments in the past year, female  (% age 15+)","Made or received digital payments in the past year, in labor force  (% age 15+)","Made or received digital payments in the past year, income, poorest 40%  (% age 15+)","Made or received digital payments in the past year, income, richest 60% (% age 15+)","Made or received digital payments in the past year, male  (% age 15+)","Made or received digital payments in the past year, older adults  (% age 25+)","Made or received digital payments in the past year, out of labor force  (% age 15+)","Made or received digital payments in the past year, primary education or less (% age 15+)","Made or received digital payments in the past year, rural  (% age 15+)","Made or received digital payments in the past year, secondary education or more (% age 15+)","Made or received digital payments in the past year, young adults  (% age 15-24)",Mobile money account (% age 15+),"Mobile money account, female (% age 15+)","Mobile money account, in labor force (% age 15+)","Mobile money account, income, poorest 40% (% age 15+)","Mobile money account, income, richest 60%  (% age 15+)","Mobile money account, male  (% age 15+)","Mobile money account, older adults (% age 25+)","Mobile money account, out of labor force (% age 15+)","Mobile money account, primary education or less (% age 15+)","Mobile money account, rural  (% age 15+)","Mobile money account, secondary education or less (% age 15+)","Mobile money account, young adults  (% age 15-24)",Saved at a financial institution (% age 15+),"Saved at a financial institution , out of labor force (% age 15+)","Saved at a financial institution, female (% age 15+)","Saved at a financial institution, in labor force (% age 15+)","Saved at a financial institution, income, poorest 40% (% age 15+)","Saved at a financial institution, income, richest 60%  (% age 15+)","Saved at a financial institution, male (% age 15+)","Saved at a financial institution, older adults (% age 25+)","Saved at a financial institution, primary education or less(% age 15+)","Saved at a financial institution, rural  (% age 15+)","Saved at a financial institution, secondary education or more (% age 15+)","Saved at a financial institution, young adults (% age 15-24)"
0,AFG,Afghanistan,3.31389784812927,3.81130361557007,3.21259450912476,5.11810302734375,4.53616046905518,3.32887887954712,4.40308713912964,5.29637622833252,2.41405749320984,3.55630660057068,3.77591323852539,4.47646427154541,1.36689305305481,3.15264320373535,4.15548944473267,3.66991281509399,3.07695364952087,3.4732871055603,4.79516220092773,2.41405749320984,3.33423137664795,3.26521849632263,3.26085758209229,0.875755310058594,10.8268003463745,4.08088445663452,18.6654491424561,10.5733814239502,10.9954624176025,17.4946842193604,12.7260427474976,2.44561982154846,5.76405811309814,11.1464595794678,24.0329818725586,7.70067262649536,0.913816154003143,0.879772305488586,1.71725559234619,0.360678732395172,1.28195416927338,0.947466135025024,1.46899437904358,0.0547685958445072,0.395830154418945,0.85223513841629,2.26498436927795,0.0,3.667888879776,1.40581691265106,1.42822825908661,5.783531665802,2.82244300842285,4.23057126998901,5.88164234161377,3.55168461799622,2.27236247062683,3.58403396606445,7.30812311172485,3.85915851593018
1,ALB,Albania,8.83927822113037,12.5244770050049,10.9592170715332,17.3932838439941,6.55911111831665,16.4950580596924,14.1847896575928,12.7272996902466,7.65212154388428,8.32730197906494,10.3949289321899,17.8266525268555,11.8331747055054,8.45284652709961,11.9334058761597,5.8833212852478,10.8067798614502,9.24917793273926,9.55828762054443,5.74289655685425,6.85057544708252,7.92061614990234,11.3515529632568,6.38860034942627,28.8223705291748,27.7541332244873,40.9570007324219,13.1116580963135,39.2795104980469,29.9554786682129,30.8642864227295,16.6788959503174,19.0347480773926,21.4913024902344,41.1868095397949,21.862678527832,2.37776207923889,2.37690925598145,3.06715965270996,0.494565904140472,3.63122749328613,2.378666639328,1.3204391002655,1.68786180019379,0.803535342216492,1.85317099094391,4.36643934249878,5.98155784606934,8.66098213195801,4.9866828918457,6.08680200576782,12.3326044082642,3.21137952804565,12.2882661819458,11.3914804458618,9.26291751861572,4.47757053375244,6.68024635314941,13.9457702636719,6.60933542251587
2,ARE,United Arab Emirates,18.884765625,46.1270866394043,37.1539039611816,49.9301452636719,33.2664680480957,54.6740226745605,49.5218124389648,48.9998168945313,18.3309726715088,32.7932014465332,35.6052360534668,46.4957046508789,14.2694606781006,15.4661436080933,20.5809783935547,14.1284685134888,22.0457172393799,20.1780967712402,20.1583957672119,6.48734283447266,18.6171703338623,17.0406646728516,19.0544509887695,4.76062774658203,84.0400619506836,67.7305526733398,89.5507659912109,77.8435516357422,88.1581573486328,90.2102661132813,86.8757400512695,43.7630233764648,56.4609985351563,74.2529830932617,85.0177154541016,52.5933380126953,21.3317966461182,18.1945095062256,22.9565696716309,15.585901260376,25.1504154205322,22.5186920166016,22.342981338501,9.45652198791504,9.29307651519775,13.6699676513672,21.8632125854492,10.118091583252,28.6678829193115,13.2358074188232,23.2131614685059,30.779296875,19.8249855041504,34.5447158813477,30.7315082550049,28.9444446563721,4.38316345214844,21.8296794891357,29.5537738800049,25.6008892059326
3,ARG,Argentina,7.31874942779541,24.3693313598633,24.2796325683594,27.7583847045898,15.0522022247314,30.5660400390625,24.467493057251,28.9732151031494,17.2749423980713,15.6592817306519,22.5697898864746,29.8620223999023,8.91037750244141,7.59920930862427,7.35674953460693,4.92151641845703,8.91311931610107,7.01182174682617,8.94658756256104,7.23920106887817,7.42864465713501,7.57837200164795,7.24944686889648,1.85011458396912,40.1779823303223,42.4553489685059,43.2282104492188,31.2372989654541,46.1243209838867,37.6856994628906,43.3699188232422,33.7928581237793,28.9094295501709,38.6407279968262,47.284107208252,29.5079135894775,2.41616749763489,1.57826399803162,3.00223255157471,1.1320526599884,3.27021622657776,3.33314418792725,2.2814416885376,1.18934226036072,0.761613726615906,1.43424272537231,3.45955443382263,2.87497901916504,7.19787311553955,5.93253326416016,4.86083126068115,7.80233764648438,2.66470527648926,10.2128286361694,9.75546360015869,8.33432197570801,4.14307355880737,6.48184204101563,9.12427711486816,3.38432931900024
4,ARM,Armenia,28.461254119873,31.2097434997559,28.2975196838379,38.6824111938477,28.3460292816162,33.118335723877,34.6063690185547,32.1821365356445,23.1845226287842,36.4651260375977,30.0620040893555,30.4826583862305,27.6248970031738,27.0147533416748,35.026237487793,26.7456855773926,29.6046352386475,30.1483573913574,29.772912979126,21.410831451416,35.6084976196289,27.586296081543,27.4724235534668,23.6256542205811,41.5156555175781,33.8988494873047,55.9739875793457,27.3282108306885,50.9712219238281,50.3993911743164,41.4438819885254,25.9882278442383,44.9266128540039,39.9681625366211,41.0437469482422,41.7802619934082,9.75530624389648,6.19509887695313,15.2542142868042,7.55744123458862,11.2201290130615,13.9076995849609,7.60670518875122,3.84979367256165,20.5984420776367,10.6380777359009,8.25514984130859,17.676399230957,10.018105506897,4.67512035369873,6.07600355148315,14.9932165145874,10.5636472702026,9.65451622009277,14.615912437439,8.44075202941895,21.7047939300537,13.1096925735474,8.40124225616455,15.8332185745239
9,BEN,Benin,9.39612483978271,11.3602695465088,9.79768371582031,13.9532279968262,13.5860290527344,9.87948513031006,12.9592475891113,13.097095489502,4.36813545227051,11.7351016998291,12.0272254943848,8.78494548797607,8.36820983886719,8.34264373779297,11.3028745651245,12.1721849441528,7.54922914505005,10.4741411209106,10.8771057128906,4.25440835952759,9.48805713653564,10.2758960723877,7.28591918945313,6.75641202926636,28.4752521514893,18.8860855102539,33.6499099731445,23.9710712432861,31.471851348877,38.2877540588379,30.0620136260986,14.5213441848755,21.495548248291,26.1180438995361,44.1884574890137,25.8573303222656,18.0938377380371,11.7268409729004,21.3134593963623,13.5064916610718,21.1457691192627,24.6091232299805,17.7940654754639,9.41184997558594,11.3976907730103,16.1664543151855,34.2051429748535,19.1188259124756,9.80283069610596,4.30677270889282,7.24757146835327,11.8409862518311,7.67678546905518,11.2172756195068,12.4176034927368,10.4957990646362,7.59787559509277,8.83002471923828,14.4088382720947,8.56245231628418
10,BFA,Burkina Faso,9.09297180175781,9.99784755706787,9.67807292938232,10.850772857666,4.99784851074219,13.3276071548462,10.2976818084717,13.0696849822998,8.29558181762695,8.66294765472412,9.43545532226563,14.6996765136719,4.9840350151062,9.02689266204834,9.62930679321289,4.46460199356079,12.1752433776855,9.15493011474609,11.6954488754272,8.02255535125732,8.25722694396973,8.78504371643066,12.85422706604,4.87673282623291,38.9153137207031,30.0632362365723,44.2179679870605,23.7473583221436,49.0164451599121,47.2153854370117,40.6886100769043,28.3322982788086,33.9151840209961,36.3998947143555,58.9380493164063,36.1890907287598,33.0227966308594,23.6532726287842,37.9967842102051,21.1171455383301,40.9513931274414,41.808048248291,34.1328086853027,23.095739364624,28.4318714141846,30.8476085662842,51.6277008056641,32.6107368469238,12.0733308792114,4.09750080108643,11.7120132446289,16.0696468353271,5.99244356155396,16.1229095458984,12.4121170043945,14.5177764892578,10.044225692749,11.2746419906616,19.0568885803223,6.66541528701782
11,BGD,Bangladesh,9.08137226104736,9.20577144622803,7.90193176269531,11.5017976760864,10.230658531189,8.5237922668457,10.5397682189941,11.0493087768555,7.13801145553589,12.2117013931274,9.47165298461914,7.09023761749268,4.40880966186523,7.90193176269531,11.2392663955688,10.230658531189,8.31661415100098,10.2880907058716,10.8770999908447,7.13801145553589,12.2117013931274,9.44069671630859,6.87828731536865,4.40880966186523,34.1108245849609,21.2080993652344,45.716609954834,26.3100299835205,39.3016204833984,47.3119773864746,34.4838104248047,23.6588706970215,24.0970783233643,34.7186431884766,41.1583709716797,33.1403007507324,21.2459602355957,10.2737874984741,30.7645072937012,14.5716924667358,25.6871433258057,32.4719047546387,19.1689529418945,12.6737298965454,14.4111156463623,22.0071697235107,26.0562305450439,26.6504135131836,9.92326641082764,7.60558223724365,9.59742546081543,12.4968090057373,5.03080558776855,13.1788034439087,10.2566442489624,11.5179471969604,5.27826309204102,8.85047245025635,13.1923589706421,5.77383995056152
16,BOL,Bolivia,16.3317108154297,19.9762954711914,20.633373260498,23.3936767578125,14.6535129547119,23.5242805480957,19.2869567871094,23.1666564941406,7.14165925979614,15.2921228408813,21.4513263702393,22.5672798156738,12.3530168533325,18.3129940032959,19.4432373046875,12.6912221908569,18.7583332061768,14.2531480789185,18.8676509857178,4.64576244354248,12.9487915039063,19.217456817627,18.2029209136963,10.2721481323242,40.0242309570313,36.2873573303223,44.1523742675781,29.594367980957,46.9764213562012,43.9445838928223,44.4649848937988,24.5201969146729,28.1766300201416,39.4664306640625,46.577564239502,29.4131755828857,7.11938953399658,4.91145658493042,6.97446823120117,6.80808210372925,7.32689666748047,9.43572807312012,5.51346063613892,7.66367149353027,2.45050048828125,7.26793241500854,9.70191860198975,10.956714630127,16.3630390167236,9.75499629974365,18.052375793457,18.1225128173828,9.82768726348877,20.7192802429199,14.5907592773438,18.116247177124,11.0035591125488,16.6126136779785,19.3275585174561,12.1737976074219
17,BRA,Brazil,8.63284778594971,26.2928695678711,22.7925872802734,31.0326194763184,15.8795862197876,33.2235412597656,30.1727523803711,28.7407779693604,16.0973644256592,15.0466918945313,24.4881916046143,32.5064506530762,18.3298797607422,7.49387311935425,10.1563243865967,7.35479164123535,9.48347091674805,9.89534187316895,9.34086799621582,5.3557505607605,4.98098182678223,8.53986358642578,10.6523561477661,6.32967376708984,57.8598136901855,57.2712135314941,63.8382682800293,43.2398681640625,67.5902709960938,58.5122451782227,63.3856163024902,44.9997711181641,44.9456329345703,57.5712814331055,64.9980697631836,39.8845062255859,4.8365306854248,4.40266084671021,6.88526344299316,2.25925183296204,6.55186557769775,5.3174524307251,4.68415546417236,0.429574638605118,0.838551461696625,3.97252631187439,6.95848178863525,5.33220338821411,14.4979152679443,7.68511581420898,10.4908237457275,17.6650905609131,5.610276222229,20.4131774902344,18.939567565918,15.194317817688,9.18411636352539,15.7095460891724,17.4738159179688,12.2325353622437
